score	name	city	state
7.6	 Pizza Collective	 New York	 NY
7.5	 Pop's Pizzas	 New York	 NY
7.6	 La Capannina	 Wainscott	 NY
7.8	 Sam's Restaurant	 East Hampton	 NY
7.1	 Villa Milano 	 Manhasset	 NY
7.6	 Salvatore's Coal Oven Pizzer...	 Port Washington	 NY
7.5	 Pennachio's	 Manorville	 NY
7.1	 P&G Pizza and Deli	 Southampton	 NY
6.7	 Cittanuova	 East Hampton	 NY
7.4	 Fierro's Pizza	 East Hampton	 NY
5.8	 Springs Pizza	 East Hampton	 NY
6.7	 Pepperoni's	 East Hampton	 NY
6.8	 Astro's Pizza	 Amagansett	 NY
8.4	 Best Pizza & Dive Bar	 Amagansett	 NY
7.3	 Pizza Village	 Montauk	 NY
6.1	 Sausages Pizza & Pastabiliti...	 Montauk	 NY
7.9	 Moby's	 East Hampton	 NY
7.4	 Colombo's Cafe & Pastries	 Hyannis	 MA
5.9	 Craigville Pizza & Mexican	 Centerville	 MA
5.8	 Jack's Pizza Hyannis	 Hyannis	 MA
7.1	 Main Street Pizza Company	 Farmingdale	 NY
6.1	 B & B Pizza	 Hyannis	 MA
7.2	 New England Pizza House No 1	 Hyannis	 MA
6.3	 Torino Restaurant and Bar	 Hyannis	 MA
6.8	 Pizza Barbone	 Hyannis	 MA
6.3	 Palio Pizzeria	 Hyannis	 MA
6.8	 British Beer Company	 Hyannis	 MA
6.7	 Crust	 Cleveland	 OH
5.1	 Edison's Pizza Kitchen	 Cleveland	 OH
7.6	 Vincenza's Pizza & Pasta	 Cleveland	 OH
7.7	 Il Rione	 Cleveland	 OH
8.7	 Columbia Inn	 Montville	 NJ
7.5	 Vince the Pizza Prince	 Scranton	 PA
6.8	 Foggy Nantucket	 Nantucket	 MA
7.4	 Alfredo's Pizza Cafe	 Scranton	 PA
7.5	 Maroni's Pizza House	 Scranton	 PA
7.9	 Sabatini's Pizza Inc	 Exeter	 PA
8.1	 Gerry's Pizzeria	 Wilkes Barre	 PA
7.3	 Shelley's Pizza	 Wilkes Barre	 PA
8.1	 Angelo's Pizza	 Wilkes Barre	 PA
6.9	 M & S Pizza II	 Rockaway Township	 NJ
6.8	 Vinnie's Pizzeria & Ristoran...	 Boonton	 NJ
6.5	 Pasquale's Restaurant and Pi...	 Boonton	 NJ
7.6	 Reservoir Tavern	 Boonton	 NJ
